Qual o nome do órgão em que você trabalha?;órgão;Qual o seu cargo?;Cargo_Cat;Município;COD_UF;UF;Estado;Qual a sua ocupação?;Quais são as suas dúvidas em relação à LPG?;Quais são as suas dúvidas em relação à PNAB?
Prefeitura Municipal de Cultura, Esporte e Lazer;Prefeitura;Secretário Municipal;Secretário;Belo Oriente;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;A prestação de contas será feita em 2025? Pois os fazedores de cultura contemplados pelos editais tem até 31/12/2024 para executar. Outra preocupação é a mudança de administração municipal, tendo em vista estarmos em ano eleitoral.;"A adesão feita na plataforma este ano vale para os 4 anos ou cada ano deverá ser feita nova adesão?
Posso priorizar na PNAB os fazedores de cultura que já tenham executados seus projetos na LPG?"
Diretoria Municipal de Cultura;Diretoria de Cultura;Assistente Administrativo;Auxiliar;Coromandel;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Sobre a prestação de contas!;Como elaborar o PAAR
Secretaria Municipal de Cultura e Patrimônio Histórico;Secretaria Municipal de Cultura;Assessor 1;Assessor;Conceição do Mato Dentro;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Todas.;Todas.
Secretaria Municipal de Educação, Cultura, Esporte e Lazer;Secretaria Municipal de Educação;Diretora de Cultura;Diretor;Porteirinha;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Não se aplica;Não se aplica
Secretaria Municipal de Cultura e Patrimônio histórico;Secretaria Municipal de Educação;Assessora;Assessor;Conceição do Mato Dentro;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Não;A execução, o edital
Funalfa;Fundação;Gerente;Gerente;Juiz de Fora;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Modelo relatório de gestão;Como compor (processo de seleção) e remunerar a comissão de avaliação dos projetos inscritos?
Prefeitura Municipal de Felício dos Santos,Mg;Prefeitura;Coordenadora Agente de Desenvolvimento,Diretora Administrativa de Departamento;Coordenador;FELÍCIO DOS SANTOS;31;MG;MINAS GERAIS;Agente Cultural;Checklist de todo parecer para maior interacao.;Gostaria de obter checklist para maior compreensão.para poder ajudar dentro do mesmo.
Secretaria Municipal de Cultura e Patrimônio Histórico;Secretaria Municipal de Cultura;Diretora de Cultura e Desigualdade Ètno Racial;Diretor;Conceição do Mato Dentro;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Vai ter a Lei Paulo Gustavo este ano?;Qual são os princípios da PNAB?
Secretaria Municipal de Esporte, Cultura, Lazer e Turismo de Comercinho;Secretaria Municipal de Cultura;Assessor de Gabinete;Assessor;Comercinho;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Como organizar os agentes culturais para participarem das leis.;Como participar
Secretaria de Bem Estar Social - Diretoria Municipal de Turismo e Cultura;Secretaria Municipal de Cultura;Agente Adminsitrativo;Auxiliar;Lagoa Santa;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;"- Caso algum membro da equipe do projeto aprovado pela LPG não possa mais participar do projeto ou não queira, precisa de uma carta de “desanuência” ou não?
- ⁠Readequação dos valores inseridos no formulário de proposta do projeto precisa ter prévia aprovação? Como inserção de novas rubricas, redução, aumento, remanejamento, etc? Ou os valores não podem ser alterados após o início do projeto?";Sem dúvidas no momento
SECRETARIA DE CULTURA;Secretaria Municipal de Cultura;CHEFE DE PATRIMONIO CULTURAL;Gerente;SANTANA DE CATAGUASES;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Execução de outro edital com os valores remanescentes;Implementação
PROCURADORIA;Procuradoria;PROCURADORA GERAL;Procurador;FELICIO DOS SANTOS;31;MG;MINAS GERAIS;Consultor;EXECUÇÃO GERAL;EXECUÇÃO GERAL
CULTURA;Secretaria Municipal de Cultura;SECRETÁRIA DE CULTURA;Secretário;FELÍCIO DOS SANTOS;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;IMPLEMENTACAO DA LEI DE CULTURA VIVA;IMPLEMENTACAO DA LEI DE CULTURA VIVA
LUMIAR Serviços Administrativos;Sociedade Civil;Diretor;Diretor;Jenipapo de Minas;31;MG;MINAS GERAIS;Consultor;remanejamento de recurso e repasse de valor total pra projeto único;remanejamento de recurso e repasse de valor total pra projeto único
Secretaria Municipal de Cultura de Divinópolis MG;Secretaria Municipal de Cultura;Agente cultural;Agente Cultural;Divinópolis;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Estamos finalizando.;A aplicação dos recursos da Aldir Blanc serão para as Demais Áreas da Cultura, o áudio visual será contemplado? Caso seja lotado somente pelo Cultura Viva como se dá a relação da Aldir Blanc?
Prefeitura de Conceição do Mato Dentro  - Secretaria de Cultura e Patrimônio Histórico;Prefeitura;Assessor Técnico em Gestão;Assessor;Conceição do Mato Dentro;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Gostaria de orientação para elaboração de editais.g;Gostaria de orientação para editais e aplicação dos recursos.
Diretoria Municipal de Turismo e Cultura;Diretoria de Cultura;Chefe Departamento de Políticas Culturais e Patrimônio Histórico;Diretor;Lagoa Santa;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;"Pedidos de agentes culturais, aprovados nos editais municipais, para readequação de equipe principal e orçamento após recebimento dos recursos, durante execução de seus projetos aprovados (fomento e bolsa)

Comissão de Acompanhamento, Monitoramento e Prestação de Contas dos projetos aprovados: composição adequada e competências

Modelo de formulário de prestação de contas por parte dos agentes culturais aprovados nos editais";"Será possível aplicação dos recursos para outras ações, que não editais e chamamentos públicos?

Ações possíveis com os 25% do Cultura Viva. Apenas editais? É possível realização de um Seminário por exemplo? Como acontecerá a certificação de pontos de cultura, via editais municipais PNAB? Como firmar convênio com o MINC, a exemplo de BH, para os editais de meu município certificar os pontos de cultura?

Quando sairão os modelos de editais?"
Diretoria Municipal de Turismo e Cultura;Diretoria de Cultura;Chefe Departamento de Políticas Culturais e Patrimônio Histórico;Diretor;Lagoa Santa;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;"Pedidos de agentes culturais, aprovados nos editais municipais, para readequação de equipe principal e orçamento após recebimento dos recursos, durante execução de seus projetos aprovados (fomento e bolsa)

Comissão de Acompanhamento, Monitoramento e Prestação de Contas dos projetos aprovados: composição adequada e competências

Modelo de formulário de prestação de contas por parte dos agentes culturais aprovados nos editais";"Será possível aplicação dos recursos para outras ações, que não editais e chamamentos públicos?

Ações possíveis com os 25% do Cultura Viva. Apenas editais? É possível realização de um Seminário por exemplo? Como acontecerá a certificação de pontos de cultura, via editais municipais PNAB? Como firmar convênio com o MINC, a exemplo de BH, para os editais de meu município certificar os pontos de cultura?

Quando sairão os modelos de editais?"
Diretoria Municipal de Turismo e Cultura;Diretoria de Cultura;Chefe Departamento de Políticas Culturais e Patrimônio Histórico;Diretor;Lagoa Santa;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;"Pedidos de agentes culturais, aprovados nos editais municipais, para readequação de equipe principal e orçamento após recebimento dos recursos, durante execução de seus projetos aprovados (fomento e bolsa)

Comissão de Acompanhamento, Monitoramento e Prestação de Contas dos projetos aprovados: composição adequada e competências

Modelo de formulário de prestação de contas por parte dos agentes culturais aprovados nos editais";"Será possível aplicação dos recursos para outras ações, que não editais e chamamentos públicos?

Ações possíveis com os 25% do Cultura Viva. Apenas editais? É possível realização de um Seminário por exemplo? Como acontecerá a certificação de pontos de cultura, via editais municipais PNAB? Como firmar convênio com o MINC, a exemplo de BH, para os editais de meu município certificar os pontos de cultura?

Quando sairão os modelos de editais?"
Secretaria Municipal de Cultura, Esporte, Lazer e Turismo;Secretaria Municipal de Cultura;Chefe do Departamento de Cultura, Patrimônio Cultural e Turismo;Diretor;CONCEIÇÃO DAS ALAGOAS;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;PROCURO NOVOS CONHECIMENTOS.;PROCURO NOVOS CONHECIMENTOS.
SECRETARIA MUNICIPAL DE CULTURA E TURISMO DE CONFINS;Secretaria Municipal de Cultura;COORDENADORA DE CULTURA;Coordenador;CONFINS;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Prestação de Contas;"Elaboração edital
Prestação de contas"
Secretaria Municipal de Cultura e Turismo;Secretaria Municipal de Cultura;Chefe da Divisão de Patrimônio Cultural - DIPAC;Gerente;Douradoquara;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Adequação orçamentária, efitais...;No momento PAAR.
Secretaria Municipal de Cultura e Turismo;Secretaria Municipal de Cultura;Chefe de Divisão de Cultura;Gerente;Douradoquara;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Editais;Editais
Prefeitura Municipal de Urucuia-MG;Prefeitura;Secretária de Cultura;Secretário;URUCUIA;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;Esta ação direta do Governo Federal, me traz muitas duvidas e muitos questionamentos, pois ainda não estou por dentro de todo assunto, devido ter assumido a secretaria recentemente,  mas venho buscando me informar com o antigo secretário.;Sem pergunta no momento.
Prefeitura Municipal de Coqueiral;Prefeitura;Diretora de Turismo;Diretor;Coqueiral;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Como distribuir o recurso;Como distribuir o recurso
PREFEITURA MUNICIPAL DE COQUEIRAL;Prefeitura;SECRETÁRIA MUNICIPAL DE CULTURA, ESPORTE E TURISMO;Secretário;Coqueiral;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;AINDA NÃO EXECUTAMOS NO MUNICÍPIO, SOMENTE ADEQUOU A LEI, AINDA PODEMOS EXECUTAR NORMALMENTE? SE SIM, PODEMOS EXECUTAR JUNTAMENTE COM PNAB?;.
Prefeitura Municipal de Conceição da Aparecida;Prefeitura;Diretor Tecnico de Cultura ,Lazer e Turismo;Diretor;CONCEICAO DA APARECIDA;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;"prestação de contas dos agentes culturais 

em 2024 vai ter o recurso novamente da Paulo Gustavo.";vai ter o recurso todos os anos
prestadora de serviço;Sociedade Civil;Arquiteta em Patrimonio, turismo e cultura;Técnico;Pedralva;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Prestação de contas;como cadastrar no snc e plano de trabalho
prefeitura de caeté;Prefeitura;secretario de turismo cultura e patrimonio;Secretário;caete;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;referente ao pagamento dos pareceristas;estamos fazendo a adequação orçamentaria, e gostaria de ajuda pra formular os editais.
Secretaria Municipal de Educação e Cultura;Secretaria Municipal de Educação;Secretária Municipal;Secretário;CAMPO DO MEIO;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;Prazos e processos de execução.;Prazos e processos de execução.
Prefeitura Municipal de Campo Florido;Prefeitura;Chefe da Seção de Cultura;Gerente;Campo Florido;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;"Como será a realização das contrapartidas ?
Como será a prestação de contos ? 
Como será feita a devolução dos recursos ?";Como serão realizadas as oitivas
Prefeitura Municipal de Conquista;Prefeitura;Gerente de Patrimônio Cultural;Gerente;Conquista;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Não há dúvidas;Plano de Ação
Dmg Das Minas Gerais Hip-Hop;Sociedade Civil;Diretora geral;Diretor;Uberlândia;31;MG;MINAS GERAIS;Agente Cultural;Todas!!;Todas!!
Secretaria Municipal de Cultura;Secretaria Municipal de Cultura;Secretária Municipal de Cultura;Secretário;Mendes Pimentel;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;O período Eleitoral pode interferir na aplicação dos recursos?;O PAAR será feito anualmente?
Prefeitura Municipal de Capim Branco;Secretaria Municipal de Cultura;Assistente Administrativo;Auxiliar;Capim Branco;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Referente a prestação de contas dos agentes culturais ao municipio e do municipio ao MinC.;Referente aos repasses anuais, se serão necessários por parte do ente federativo, no caso o municipio, elaborar editais de chamamento publico a cada ano ou se o agente cultural contemplado no primeiro edital garantirá o recurso para os proximos anos.
Secretaria de Cultura;Secretaria Municipal de Cultura;Coordenadora de Cultura e Patrimonio;Coordenador;Almenara;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;"prestação de contas
cobrança dos agentes culturais para entrega do produto
penalidades para os municípios que não prestarem contas
impostos sobre os recursos
devolução de recursos remanescentes";"plano de ação
quais ações poderão ser contempladas
divisão de recursos
a não utilização de editais para cultura viva"
Secretaria de esporte,lazer, cultura e turismo;Secretaria Municipal de Cultura;Secretario de esporte,lazer, cultura e turismo;Secretário;Mathias Lobato;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;Elaboração da documentação;Elaboração da documentação
Prefeitura;Prefeitura;Supervisor;Supervisor;Lima duarte;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Todas;Todas
Secretaria Municipal de Cultura e Patrimônio Histórico;Secretaria Municipal de Cultura;Oficial de Administração;Auxiliar;Passos;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Já executamos a LPG não tendo dúvidas a respeito.;São várias as dúvidas que espero possam ser dirimidas no encontro.
Prefeitura de Capim Branco;Prefeitura;Secretária;Secretário;CAPIM BRANCO;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;Forma de fazer a presdtação de contas.;Forma de execução
Departamento de Cultura e Turismo;Diretoria de Cultura;Diretor do Departamento de Cultura e Turismo;Diretor;Descoberto;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;Tenho dúvidas para comprovação da Execução da Lei;Tenho Dúvidas sobre o Plano de Ação
Secretaria Municipal de Cultura, Esporte e Turismo;Secretaria Municipal de Cultura;Assessor;Assessor;Igaratinga;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;-;-
Secretaria de Cultura e Turismo;Secretaria Municipal de Cultura;Diretora do Turismo;Diretor;Manhuaçu;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;"como executar a LEI LPG
melhor forma de executa-la
em quais projetos podem ser usada";ainda desconhecido a mim.
Prefeitura Municipal de Guapé;Prefeitura;Secretária de Cultura e Patrimônio Histórico;Secretário;Guapé;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;sobre a lei Paulo Gustavo é a devolução dos rendimentos e do restante do recurso. Não sei como Fazer?;"Minha maior dúvida é sobre as questões dos editais... se posso fazer premiação para todas as modalidades incluindo espaços e se posso fazer esta premiação exigindo uma contrapartida.

Tenho muitas dúvidas mais, porém com certeza serão respondidas ao longo do evento."
Secretaria de Cultura e Turismo;Secretaria Municipal de Cultura;Assessor do Secretário;Assessor;Itanhomi;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Prestação de contas;Execução
SECRETARIA MUNICIPAL DE EDUCAÇÃO, CULTURA, ESPORTE, LASER E TURISMO;Secretaria Municipal de Educação;COORDENADORA DO PATRIMÔNIO CULTURAL;Coordenador;SENHORA DOS REMEDIOS;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;como fazer o edital, pagamentos e prestação de contas.;não sei nada
Secretaria Municipal de Cultura e Turismo;Secretaria Municipal de Cultura;Secretário de Cultura e Turismo;Secretário;Leopoldina;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;Nenhuma especificamente;Genéricas mas ainda não lançamos os editais
Prefeitura Municipal de Rio Piracicaba;Prefeitura;Gestor de Cultura;Indefinido;Rio Piracicaba;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;Quais as etapas o município precisa cumprir em maio?;Quais as etapas o município precisa cumprir em maio?
Prefeitura Municipal;Prefeitura;Diretor de Cultura e Turismo 31;Diretor;Paraopeba;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;Prazo prestação de contas?;Existe modelo para editais?
Secretaria de cultura e Turismo;Secretaria Municipal de Cultura;Secretária;Secretário;Inhapim;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;Relatório final;"PAAR /
 Sistema municipal de Cultura"
Seção de Cultura e Patrimônio - Secretaria de Cultura, Esporte, Turismo e Lazer;Secretaria Municipal de Cultura;Chefe da Seção de Cultura;Gerente;Campanha;31;MG;MINAS GERAIS;Agente Cultural;Em relação à LPG já me encontro mais a par, porém sempre é importante a troca de informações e de experiências.;Referente à Aldir Blanc ainda necessito me inteirar mais.
Secretaria Municipal de Cultura e Turismo;Secretaria Municipal de Cultura;Secretária  Municipal de Cultura e Turismo;Secretário;Rio Doce;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;Prestação de contas;Adesão ao sistema nacional, construção do PAAR
secretaria de Cultura;Secretaria Municipal de Cultura;diretora de cultura;Diretor;Caldas;31;MG;MINAS GERAIS;Gestor da Pasta de Cultura;sobre os recursos remanescentes dos editais.;gostaria de um resumo rápido do PAAB, cultura viva, cadastro, modelos de editais, o que pode e não pode na PNAB
Secretaria Municipal de Cultura, Esportes e Turismo;Secretaria Municipal de Cultura;Gerente de programas e projetos culturais;Gerente;Sete Lagoas;31;MG;MINAS GERAIS;Servidor da Pasta de Cultura;Utilização do saldo remanescente;Disponibilização dos modelos dos editais
